Assay,Measure,Name,Phenotype mean,Phenotype sd,Phenotype males mean,Phenotype males sd,Phenotype females mean,Phenotype females sd,LogP for phenotype sex difference,Nb samples,Linear model,Category,Name,Heritability,Heritability standard error,Heritability p-value
,Sustained Hypoxic Response (Minute Volume),Hypoxia.MV_SHR,-5.48,49.2,4.14,50.5,-15.7,45.6,15.2,1572,Hypoxia.MV_SHR~1 + Sex + (1|Batch),physiological,Hypoxia.MV_SHR,0.242,0.073,1.13E-04
,normoxia Recovery (Minute Volume),Hypoxia.MV_NR,111,42,105,41.4,117,41.8,8.13,1574,Hypoxia.MV_NR~1 + Sex + (1|Batch) + Body.Weight + Hypoxia.Chamber,physiological,Hypoxia.MV_NR,0.156,0.075,1.49E-02
,Baseline (Respiratory Rate),Hypoxia.f_Baseline,362,73,364,71.2,360,74.8,0.556,1584,Hypoxia.f_Baseline~1 + (1|Batch),physiological,Hypoxia.f_Baseline,0.266,0.075,4.73E-05
,Acute Hypoxic Response (Respiratory Rate),Hypoxia.f_AHR,28.6,68.1,26.9,66.2,30.4,70,0.513,1584,Hypoxia.f_AHR~1 + (1|Batch),physiological,Hypoxia.f_AHR,0.122,0.072,3.71E-02
,Hypoxic Ventilatory Decline (Respiratory Rate),Hypoxia.f_HVD,139,49.2,136,47.8,142,50.5,2.06,1579,Hypoxia.f_HVD~1 + (1|Batch) + Body.Weight,physiological,Hypoxia.f_HVD,0.300,0.076,1.24E-05
,Undershoot (Respiratory Rate),Hypoxia.f_Undershoot,201,79.7,208,76.2,194,82.7,3.45,1577,Hypoxia.f_Undershoot~1 + (1|Batch),physiological,Hypoxia.f_Undershoot,0.229,0.075,4.72E-04
,Off-response (Respiratory Rate),Hypoxia.f_Off_response,92.9,31.2,99.5,27,85.5,33.8,17.7,1536,Hypoxia.f_Off_response~1 + Sex + Body.Weight,physiological,Hypoxia.f_Off_response,0.081,0.074,1.32E-01
,Sustained Hypoxic Response (Respiratory Rate),Hypoxia.f_SHR,-111,79.2,-109,77.6,-113,80.9,0.367,1586,Hypoxia.f_SHR~1 + (1|Batch),physiological,Hypoxia.f_SHR,0.394,0.077,6.90E-09
,normoxia Recovery (Respiratory Rate),Hypoxia.f_NR,93.1,53.5,94.8,53.1,91.2,53.9,0.728,1572,Hypoxia.f_NR~1 + (1|Batch),physiological,Hypoxia.f_NR,0.033,0.070,3.17E-01
,Baseline (Tidal Volume),Hypoxia.TV_Baseline,0.76,0.169,0.767,0.166,0.751,0.173,1.22,1555,Hypoxia.TV_Baseline~1 + (1|Batch) + Body.Weight + Hypoxia.Chamber,physiological,Hypoxia.TV_Baseline,0.075,0.074,1.53E-01
,Acute Hypoxic Response (Tidal Volume),Hypoxia.TV_AHR,0.464,0.167,0.471,0.164,0.456,0.17,1.08,1574,Hypoxia.TV_AHR~1 + (1|Batch) + Body.Weight + Hypoxia.Chamber,physiological,Hypoxia.TV_AHR,0.326,0.080,8.77E-06
,Hypoxic Ventilatory Decline (Tidal Volume),Hypoxia.TV_HVD,0.229,0.123,0.199,0.12,0.261,0.119,23.4,1573,Hypoxia.TV_HVD~1 + Sex + (1|Batch),physiological,Hypoxia.TV_HVD,0.154,0.072,9.64E-03
,Undershoot (Tidal Volume),Hypoxia.TV_Undershoot,0.159,0.153,0.136,0.152,0.184,0.151,9.46,1565,Hypoxia.TV_Undershoot~1 + Sex + (1|Batch),physiological,Hypoxia.TV_Undershoot,0.295,0.079,3.57E-05
,Off-response (Tidal Volume),Hypoxia.TV_Off_response,0.397,0.12,0.408,0.118,0.385,0.12,3.7,1561,Hypoxia.TV_Off_response~1 + (1|Batch) + Body.Weight + Hypoxia.Chamber,physiological,Hypoxia.TV_Off_response,0.127,0.074,3.62E-02
,Sustained Hypoxic Response (Tidal Volme),Hypoxia.TV_SHR,0.238,0.182,0.277,0.18,0.197,0.174,17.8,1569,Hypoxia.TV_SHR~1 + Sex + (1|Batch) + Hypoxia.Chamber,physiological,Hypoxia.TV_SHR,0.345,0.080,3.33E-06
,normoxia Recovery (Tidal Volume),Hypoxia.TV_NR,0.289,0.157,0.245,0.148,0.335,0.154,30.6,1576,Hypoxia.TV_NR~1 + Sex + (1|Batch) + Hypoxia.Chamber,physiological,Hypoxia.TV_NR,0.056,0.069,2.04E-01
Cardiac phenotype (ECG),Heart rate measured during ECG,Cardio.ECG.Heart_Rate,512,46.1,519,46.7,506,44.7,7.99,1807,Cardio.ECG.Heart_Rate~1 + Sex + (1|Batch) + Body.Weight,physiological,Cardio.ECG.Heart_Rate,0.200,0.065,3.72E-04
,ECG: PR interval (main),Cardio.ECG.PR_main,39,3.39,38,3.16,40,3.29,38.8,1777,Cardio.ECG.PR_main~1 + Sex + (1|Batch) + Body.Weight + Cardio.Echo.Experimenter,physiological,Cardio.ECG.PR_main,0.254,0.067,1.03E-05
,ECG: PR interval (peak),Cardio.ECG.PR_peak,38.1,3.36,37.2,3.19,39,3.29,28.6,1778,Cardio.ECG.PR_peak~1 + Sex + (1|Batch) + Body.Weight,physiological,Cardio.ECG.PR_peak,0.135,0.065,1.26E-02
,ECG: P wave duration,Cardio.ECG.P_Duration,22,2.23,21.7,2.14,22.3,2.29,5.48,1308,Cardio.ECG.P_Duration~1 + Sex + (1|Batch),physiological,Cardio.ECG.P_Duration,0.020,0.078,3.97E-01
,ECG: QRS complex (main),Cardio.ECG.QRS_main,9.74,0.664,9.85,0.686,9.62,0.62,13.1,1761,Cardio.ECG.QRS_main~1 + Sex + (1|Batch) + Body.Weight,physiological,Cardio.ECG.QRS_main,0.078,0.067,1.30E-01
,ECG: QRS complex (peak),Cardio.ECG.QRS_peak,4.57,0.469,4.64,0.494,4.51,0.433,8.59,1743,Cardio.ECG.QRS_peak~1 + Sex + (1|Batch),physiological,Cardio.ECG.QRS_peak,0.018,0.062,3.84E-01
,ECG: QT interval (main),Cardio.ECG.QT_main,40.7,4.36,40.5,4.3,40.9,4.42,1.08,1525,Cardio.ECG.QT_main~1 + (1|Batch),physiological,Cardio.ECG.QT_main,0.116,0.075,5.44E-02
,ECG: QT interval (main) corrected for heart rate,Cardio.ECG.QTcorr_main,37.4,3.2,37.4,3.18,37.3,3.23,0.411,1531,Cardio.ECG.QTcorr_main~1 + (1|Batch),physiological,Cardio.ECG.QTcorr_main,0.118,0.072,3.64E-02
,ECG: QT interval (peak) corrected for heart rate,Cardio.ECG.QTcorr_peak,32.5,3.27,32.5,3.27,32.5,3.26,0.0478,1513,Cardio.ECG.QTcorr_peak~1 + (1|Batch),physiological,Cardio.ECG.QTcorr_peak,0.125,0.073,3.16E-02
,ECG: JT interval,Cardio.ECG.JT_Interval,30.9,4.35,30.6,4.31,31.2,4.37,2.39,1510,Cardio.ECG.JT_Interval~1 + (1|Batch),physiological,Cardio.ECG.JT_Interval,0.087,0.073,1.06E-01
,ECG: T wave duration,Cardio.ECG.Tpeak_Tend,27.2,4.37,26.9,4.28,27.4,4.46,1.68,1444,Cardio.ECG.Tpeak_Tend~1 + (1|Batch) + Body.Weight,physiological,Cardio.ECG.Tpeak_Tend,0.048,0.074,2.52E-01
Porsolt Swim Test,"Immobility during the first 2 minutes of test, omitting the first 10 seconds (%)",PST.Immobility.First2min,11.3,11.4,10.6,11.2,12,11.5,224,1809,PST.Immobility.First2min~1 + (1|Batch),behaviour,PST.Immobility.First2min,0.206,0.065,2.97E-04
,Immobility during the last 4 minutes of test (%),PST.Immobility.Last4min,39.5,25.7,37.1,25.3,41.8,25.8,424,1879,PST.Immobility.Last4min~1 + (1|Batch),behaviour,PST.Immobility.Last4min,0.303,0.063,2.07E-08
Elevated Plus Maze,Distance in closed arms (cm),EPM.ClosedArms.Distance,1010,191,983,184,1030,194,6.81,1772,EPM.ClosedArms.Distance~1 + Sex + (1|Batch),behaviour,EPM.ClosedArms.Distance,0.268,0.066,3.95E-06
,Number of entries in closed arms,EPM.ClosedArms.Entries,18.7,5.28,18.1,5.33,19.2,5.17,4.69,1776,EPM.ClosedArms.Entries~1 + (1|Batch),behaviour,EPM.ClosedArms.Entries,0.138,0.064,1.07E-02
,Time in closed arms (sec),EPM.ClosedArms.Time,167,33.8,176,34.6,159,30.9,24,1777,EPM.ClosedArms.Time~1 + Sex + (1|Batch),behaviour,EPM.ClosedArms.Time,0.114,0.063,2.76E-02
,Distance in open arms (cm),EPM.OpenArms.Distance,172,144,149,138,197,146,11.3,1682,EPM.OpenArms.Distance~1 + Sex + (1|Batch) + Body.Weight,behaviour,EPM.OpenArms.Distance,0.080,0.063,8.27E-02
,Number of entries in open arms,EPM.OpenArms.Entries,6.59,4.26,5.78,4.11,7.4,4.26,14.5,1702,EPM.OpenArms.Entries~1 + Sex + (1|Batch) + Body.Weight,behaviour,EPM.OpenArms.Entries,0.169,0.065,1.51E-03
,Time in open arms (sec),EPM.OpenArms.Time,35.4,26.8,31.3,26.1,39.5,26.8,10,1761,EPM.OpenArms.Time~1 + Sex + (1|Batch),behaviour,EPM.OpenArms.Time,0.085,0.060,6.24E-02
,Total distance (cm),EPM.Total.Distance,1540,292,1470,272,1620,292,26.9,1701,EPM.Total.Distance~1 + Sex + (1|Batch) + Body.Weight,behaviour,EPM.Total.Distance,0.276,0.069,3.11E-06
Fear Conditioning,Time freezing at baseline (before first tone) during training (%),FC.Training.Baseline,9.77,7.64,10.9,8.2,8.72,6.91,8.79,1874,FC.Training.Baseline~1 + Sex + (1|Batch) *,behaviour,FC.Training.Baseline,0.063,0.058,1.27E-01
,Time freezing at baseline (before first tone) during cue tes (%),FC.Cue.Baseline,7.32,7,7.94,7.02,6.7,6.94,3.94,1912,FC.Cue.Baseline~1 + Sex + (1|Batch) *,behaviour,FC.Cue.Baseline,0.073,0.057,8.21E-02
,Time freezing at tone prior to shock during training (%),FC.Training.UnconditionedFreeze,32.5,22,36.1,22.8,29,20.5,11.6,1875,FC.Training.UnconditionedFreeze~1 + Sex + (1|Batch) *,behaviour,FC.Training.UnconditionedFreeze,0.166,0.062,1.78E-03
,Time freezing at tone prior to shock corrected for baseline during training (%) = FC.Training.UnconditionedFreeze - FC.Training.Baseline,FC.Training.UnconditionedFreeze.Corrected,22.1,18.8,24.3,19.6,19.9,17.7,6.44,1873,FC.Training.UnconditionedFreeze.Corrected~1 + Sex + (1|Batch) *,behaviour,FC.Training.UnconditionedFreeze.Corrected,0.143,0.061,4.99E-03
,Time freezing during duration of context testing (%),FC.Context.Freeze,33,22.1,38.5,22.8,27.6,20,26.8,1878,FC.Context.Freeze~1 + Sex + (1|Batch) *,behaviour,FC.Context.Freeze,0.179,0.061,5.04E-04
,Time freezing during context testing corrected for baseline during training (%) = FC.Context.Freeze - FC.Training.Baseline,FC.Context.Freeze.Corrected,22.7,20,26.9,20.8,18.6,18.2,18.7,1866,FC.Context.Freeze.Corrected~1 + Sex + (1|Batch) *,behaviour,FC.Context.Freeze.Corrected,0.163,0.061,1.43E-03
,Time freezing during tones in cue test (%),FC.Cue.MeanFreeze,37.8,25.7,41.1,25.7,34.5,25.2,7.68,1907,FC.Cue.MeanFreeze~1 + Sex + (1|Batch) *,behaviour,FC.Cue.MeanFreeze,0.091,0.059,4.97E-02
,Time freezing during tones in cue test corrected for baseline in cue test (%) = FC.Cue.MeanFreeze - FC.Cue.Baseline,FC.Cue.MeanFreeze.Corrected,29.8,23,32.4,22.9,27.1,22.8,6.25,1904,FC.Cue.MeanFreeze.Corrected~1 + Sex + (1|Batch) *,behaviour,FC.Cue.MeanFreeze.Corrected,0.049,0.056,1.80E-01
Open Field Test,Number of fecal boli counted at the end of test,OFT.Boli,3.54,2.27,3.49,2.17,3.59,2.37,0.485,1968,OFT.Boli~1 + (1|Batch),behaviour,OFT.Boli,0.064,0.056,1.18E-01
,Time spent in the centre of the arena (sec),OFT.Centre.Time,3.84,3.32,3.41,3.12,4.26,3.46,7.91,1935,OFT.Centre.Time~1 + Sex + (1|Batch),behaviour,OFT.Centre.Time,0.139,0.061,8.60E-03
,Distance travelled in the centre of the arena (cm),OFT.Centre.Distance,60.9,54.7,51.8,50.4,70.1,57.3,12.8,1928,OFT.Centre.Distance~1 + Sex + (1|Batch),behaviour,OFT.Centre.Distance,0.123,0.060,1.54E-02
,Number of entries in the centre of the arena,OFT.Centre.Entries,3.41,2.96,2.9,2.77,3.91,3.05,13.4,1925,OFT.Centre.Entries~1 + Sex + (1|Batch),behaviour,OFT.Centre.Entries,0.066,0.058,1.25E-01
,Total distance (cm),OFT.Arena.Distance,2430,769,2240,735,2610,757,26.9,1943,OFT.Arena.Distance~1 + Sex + (1|Batch),behaviour,OFT.Arena.Distance,0.163,0.060,1.72E-03
,Time spent in the vicinity of the arena's wall (sec),OFT.Periphery.Time,281,12.1,283,11.8,280,12.1,9.98,1953,OFT.Periphery.Time~1 + Sex + (1|Batch),behaviour,OFT.Periphery.Time,0.131,0.060,1.11E-02
,Distance travelled in the vicinity of the arena's wall (cm),OFT.Periphery.Distance,2130,599,1990,583,2270,584,24.3,1933,OFT.Periphery.Distance~1 + Sex + (1|Batch),behaviour,OFT.Periphery.Distance,0.162,0.061,1.95E-03
,Time spent between the centre and the vicinity of the walls (sec),OFT.Open.Time,18.7,12.1,16.9,11.8,20.4,12.1,9.98,1953,OFT.Open.Time~1 + Sex + (1|Batch),behaviour,OFT.Open.Time,0.131,0.060,1.11E-02
,Distance travelled while between the centre and the vicinity of the walls(cm),OFT.Open.Distance,281,211,240,197,322,217,17.2,1943,OFT.Open.Distance~1 + Sex + (1|Batch),behaviour,OFT.Open.Distance,0.114,0.060,2.32E-02
Basal activity (home cage),Total mouvements (beam breaks) recorded between 0 and 5 minutes,PAS.First5,197,52.6,187,53.1,207,50.1,16.9,1900,PAS.First5~1 + Sex + (1|Batch),behaviour,PAS.First5,0.241,0.063,8.62E-06
,Total mouvements (beam breaks) recorded between 20 and 30 minutes,PAS.Last10,87.2,28.4,85.1,28.5,89.4,28,2.95,1897,PAS.Last10~1 + (1|Batch),behaviour,PAS.Last10,0.332,0.063,1.11E-09
,Total mouvements (beam breaks) recorded for the complete duration of the test (0-30 minutes),PAS.Total_Activity,119,27.2,117,27.4,121,26.8,2.83,1900,PAS.Total_Activity~1 + (1|Batch),behaviour,PAS.Total_Activity,0.340,0.063,1.77E-10
Sleeping behaviour in normal 12/12 light/dark conditions,Mean time spent asleep over 24 hours (h),Sleep.s24h,8.02,1.61,8.7,1.46,7.32,1.45,72,1590,Sleep.s24h~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.s24h,0.054,0.068,2.06E-01
,Mean time spent asleep during the 12h light period (h),Sleep.s12h_L,4.76,0.848,4.97,0.844,4.55,0.799,23.1,1590,Sleep.s12h_L~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.s12h_L,0.145,0.070,1.11E-02
,Mean time spent asleep during the 12h dark period (h),Sleep.s12h_D,3.27,1.08,3.74,0.94,2.78,0.999,78.2,1594,Sleep.s12h_D~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.s12h_D,0.172,0.072,5.71E-03
,Difference in time spent asleep between light and dark period (h),Sleep.sDif_LD,1.47,1.07,1.2,0.994,1.75,1.07,24.4,1584,Sleep.sDif_LD~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.sDif_LD,0.308,0.074,1.72E-06
,Variance in the 24 hourly values for time spent asleep over 24h,Sleep.VAR,151,39.8,148,41.4,154,37.8,2.93,1589,Sleep.VAR~1 + (1|Batch) + Body.Weight,behaviour,Sleep.VAR,0.147,0.069,8.87E-03
,Percent of total wakefulness spent in long (>17min) waking episodes (%),Sleep.Percent_wake_over_17min,67.2,7.86,64.8,8.15,69.7,6.68,37.7,1580,Sleep.Percent_wake_over_17min~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.Percent_wake_over_17min,0.115,0.070,4.16E-02
,Longest continuous waking episode (h),Sleep.Max_wake_episode.h,3.53,1.66,3.03,1.39,4.06,1.76,35.3,1569,Sleep.Max_wake_episode.h~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.Max_wake_episode.h,0.140,0.073,2.22E-02
,Number of short (<1min) sleep episodes expressed per hour of sleep,Sleep.short_sleep,71.9,13.6,69.2,12.9,74.6,13.7,14.9,1578,Sleep.short_sleep~1 + Sex + (1|Batch),behaviour,Sleep.short_sleep,0.320,0.072,1.12E-07
,Number of long (>1min) sleep episodes expressed per hour of sleep,Sleep.long_sleep,19.9,1.75,20.1,1.7,19.6,1.76,10.1,1577,Sleep.long_sleep~1 + Sex,behaviour,Sleep.long_sleep,0.307,0.072,3.62E-07
,Percent of total sleep spent in long sleep episodes (%),Sleep.long_sleep.percent_total,56.2,7.47,57.4,7.22,54.9,7.5,11,1584,Sleep.long_sleep.percent_total~1 + Sex + (1|Batch),behaviour,Sleep.long_sleep.percent_total,0.368,0.071,5.89E-10
,Longest continuous sleep episode (min),Sleep.longest_sleep.min,4.36,0.887,4.5,0.885,4.22,0.868,9.41,1557,Sleep.longest_sleep.min~1 + Sex + (1|Batch),behaviour,Sleep.longest_sleep.min,0.124,0.072,3.46E-02
,Averaged square of the differences between corresponding 24 hourly values of the two recording days (Dmin2),Sleep.VAR_1h,178,68.9,184,70.6,170,66.4,4.3,1565,Sleep.VAR_1h~1 + Sex,behaviour,Sleep.VAR_1h,0.167,0.072,6.58E-03
,Day-to-day differences in amount of sleep during the light period (Dh),Sleep.VAR_12hL,0.0918,0.516,0.0924,0.52,0.0911,0.513,0.0176,1563,Sleep.VAR_12hL~1 + (1|Batch),behaviour,Sleep.VAR_12hL,0.102,0.071,6.58E-02
,Day-to-day differences in amount of sleep during the dark period (Dh),Sleep.VAR_12hD,-0.322,0.68,-0.156,0.581,-0.497,0.731,22.9,1571,Sleep.VAR_12hD~1 + Sex + (1|Batch),behaviour,Sleep.VAR_12hD,0.000,0.000,1.00E+00
,Day-to-day differences in the total amount of sleep over 24h (Dh),Sleep.VAR_24h,-0.222,0.87,-0.0522,0.779,-0.4,0.924,14.7,1569,Sleep.VAR_24h~1 + Sex + (1|Batch),behaviour,Sleep.VAR_24h,0.000,0.000,1.00E+00
,Amount of sleep in the first 2 hours after light onset (min),Sleep.sleep_L_onset,26.3,21.1,30.6,21.5,22,19.7,15.6,1595,Sleep.sleep_L_onset~1 + Sleep.Light + Sex + (1|Batch),behaviour,Sleep.sleep_L_onset,0.120,0.071,3.98E-02
,Amount of sleep in the first 2 hours after dark onset (min),Sleep.sleep_D_onset,9.56,9.73,11.3,10.5,7.81,8.51,11.9,1568,Sleep.sleep_D_onset~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.sleep_D_onset,0.000,0.000,1.00E+00
,Mid-point of the 12h interval with the most sleep (in hours after light onset)  ,Sleep.T_max,2.33,1.46,2.15,1.38,2.52,1.5,6.36,1551,Sleep.T_max~1 + Sex + (1|Batch),behaviour,Sleep.T_max,0.086,0.071,1.06E-01
,"Difference in sleep duration between the 12h intervals with the most and least sleep, respectively (Dh)",Sleep.Ampl,3.09,0.823,2.95,0.811,3.24,0.81,11.8,1587,Sleep.Ampl~1 + Sex + (1|Batch) + Body.Weight,behaviour,Sleep.Ampl,0.226,0.073,3.11E-04
Startle PPI,100dB pulse reactivity (ln transformed),SPPI.ln_pa,3.41,1.03,3.47,1.05,3.34,1.02,2.12,1756,SPPI.ln_pa~1 + (1|Batch) + Body.Weight,behaviour,SPPI.ln_pa,0.186,0.067,1.67E-03
,110dB pulse reactivity (ln transformed),SPPI.ln_pb,4.34,1.13,4.43,1.18,4.25,1.08,3.01,1753,SPPI.ln_pb~1 + (1|Batch) + Body.Weight,behaviour,SPPI.ln_pb,0.271,0.069,9.94E-06
,120dB pulse reactivity (ln transformed),SPPI.ln_pc,4.62,1.11,4.71,1.16,4.54,1.06,2.84,1755,SPPI.ln_pc~1 + (1|Batch) + Body.Weight,behaviour,SPPI.ln_pc,0.291,0.069,2.33E-06
,Habituation,SPPI.Habituation,0.371,0.618,0.347,0.642,0.396,0.592,1.04,1770,SPPI.Habituation~1,behaviour,SPPI.Habituation,0.160,0.067,5.86E-03
,Prepulse-elicited reactivity,SPPI.ppReactivity,0.168,0.205,0.161,0.197,0.174,0.211,0.795,1763,SPPI.ppReactivity~1 + (1|Batch),behaviour,SPPI.ppReactivity,0.180,0.066,1.85E-03
,Pulse reactivity,SPPI.pReactivity,0.97,0.436,0.96,0.432,0.981,0.44,0.509,1740,SPPI.pReactivity~1 + Diss.Transfer.Date.Month,behaviour,SPPI.pReactivity,0.299,0.069,7.32E-07
,"PPI to 100dB pulse (mean, %)",SPPI.pc_average_pA,40.6,25.1,40.2,25.5,41,24.7,0.291,1730,SPPI.pc_average_pA~1,behaviour,SPPI.pc_average_pA,0.135,0.066,1.42E-02
,"PPI to 110dB pulse (mean, %)",SPPI.pc_average_pB,29.3,22.9,30.4,23.4,28.2,22.3,1.33,1735,SPPI.pc_average_pB~1 + (1|Batch),behaviour,SPPI.pc_average_pB,0.000,0.000,1.00E+00
,"PPI to 120dB pulse (mean, %)",SPPI.pc_average_pC,18.1,22.5,17.9,23.6,18.3,21.2,0.154,1747,SPPI.pc_average_pC~1 + (1|Batch),behaviour,SPPI.pc_average_pC,0.232,0.069,1.32E-04
,Mean PPI (%),SPPI.pc_average_ABC,28.2,19.3,28.3,20.1,28.1,18.4,0.0938,1747,SPPI.pc_average_ABC~1 + (1|Batch),behaviour,SPPI.pc_average_ABC,0.079,0.065,1.04E-01
,"Slope of PPI (71, 77 and 83dB) to 100dB pulse ",SPPI.slope_pA,0.313,0.214,0.312,0.223,0.314,0.205,0.0473,1776,SPPI.slope_pA~1,behaviour,SPPI.slope_pA,0.147,0.064,5.71E-03
,"Slope of PPI (71, 77 and 83dB) to 110dB pulse ",SPPI.slope_pB,0.235,0.174,0.247,0.178,0.222,0.168,2.67,1765,SPPI.slope_pB~1,behaviour,SPPI.slope_pB,0.083,0.063,8.18E-02
,"Slope of PPI (71, 77 and 83dB) to 120dB pulse ",SPPI.slope_pC,0.149,0.133,0.154,0.139,0.144,0.128,0.862,1754,SPPI.slope_pC~1 + (1|Batch),behaviour,SPPI.slope_pC,0.148,0.066,8.49E-03
,Mean of PPI slopes,SPPI.slpPPI_average,0.232,0.141,0.239,0.149,0.226,0.132,1.23,1768,SPPI.slpPPI_average~1,behaviour,SPPI.slpPPI_average,0.186,0.066,1.15E-03
Neophagia,"Latency to eat novel food (sec), censored at 360 seconds",Neo.Latency,159,128,167,134,151,123,2.29,1932,Neo.Latency~1 + (1|Batch),behaviour,Neo.Latency,0.139,0.059,5.26E-03
,,,,,,,,,,,,,,,,
"* The testing box had a strong effect on the Feac Conditioning measures so they were first qualtile normalised by box ID (1,2,3 or 4) before applying linear model to calculate residuals",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Covariates used for the calultation of the residuals,,,,,,,,,,,,,,,,
Name of covariate,Description,,,,,,,,,,,,,,,
Body.Weight,Body weight measured at the time of sacrifice (20 weeks),,,,,,,,,,,,,,,
Diss.Experimenter.1,Identity of experimenter performing dissection,,,,,,,,,,,,,,,
Batch,Defines group of mice being phenotyped at the same time,,,,,,,,,,,,,,,
Sex,Sex of the animal,,,,,,,,,,,,,,,
Diss.Experimenter.CardiacPuncture,Identify of the experimenter collecting blood by cardiac puncture,,,,,,,,,,,,,,,
Diss.Experimenter.CardiacDissection,Identify of experimenter perfoming fine dissection of the heart,,,,,,,,,,,,,,,
Diss.Cull.Date.Day_of_Year,Day of year as numeric (1-365) when animal was culled,,,,,,,,,,,,,,,
Diss.Transfer.Date.Day_of_Year,Day of year as numeric (1-365) when animal was transfered from quarantine to the animal facility,,,,,,,,,,,,,,,
Tibia.Length,Length of tibia (mm),,,,,,,,,,,,,,,
Hypoxia.Chamber,"Enclosure where response to hypoxia was measured (1, 2 , 3 or 4)",,,,,,,,,,,,,,,
Hypoxia.Time.Hour.Minute,Time of day  when response to hypoxia test started (1-23),,,,,,,,,,,,,,,
WH.Cage.Density,Number of mice housed in the same cage at the time ear puncture was performed,,,,,,,,,,,,,,,
Cardio.Echo.Experimenter,Identify of experimenter performing cardiac measure,,,,,,,,,,,,,,,
Neuro.Staining.batch,Defines group of brains stained at the same time,,,,,,,,,,,,,,,
Neuro.Nb_slices_Ki67,Number of brain slices available for the counting of Ki67 stained cells (3 or 4),,,,,,,,,,,,,,,
Neuro.Nb_slices_DCX,"Number of brain slices available for the counting of DCX stained cells (6, 7 or 8)",,,,,,,,,,,,,,,
Serotonin.Date.Month,Month of plasma serotonin measure (1-12),,,,,,,,,,,,,,,
